G1GMP-2403-MONOMER	G1GMP-2403	Q8EDX4	uridine kinase Udk	Udk
G1GMP-3443-MONOMER	G1GMP-3443	K4PW17	protein of unknown function DUF3144	
G1GMP-3289-MONOMER	G1GMP-3289	Q8EBI9	type IV minor pilin protein PilW	PilW
G1GMP-1809-MONOMER	G1GMP-1809	Q8EFL1	hypothetical protein	
G1GMP-711-MONOMER	G1GMP-711	Q8EIS5	ammonium transporter channel family protein	
G1GMP-1495-MONOMER	G1GMP-1495	Q8EGH9	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	DapD
G1GMP-972-MONOMER	G1GMP-972	Q8EI02	periplasmic glucan biosynthesis protein OpgD	OpgD
G1GMP-2052-MONOMER	G1GMP-2052	Q8EEW7	exonuclease family protein	
G1GMP-1651-MONOMER	G1GMP-1651	Q8EG14	enoyl acyl-carrier-protein reductase FabV	FabV
G1GMP-1458-MONOMER	G1GMP-1458	Q8EGL6	fumarylacetoacetate hydrolase family protein	
G1GMP-1371-MONOMER	G1GMP-1371	Q8EGV9	TonB-dependent receptor	
G1GMP-49-MONOMER	G1GMP-49	Q8EKP5	protein YibQ	YibQ
G1GMP-317-MONOMER	G1GMP-317	Q8EJX4	serine/threonine protein kinase RdoA	RdoA
G1GMP-843-MONOMER	G1GMP-843	Q8EID6	Na-translocating NADH-quinone reductase subunit E NqrE	NqrE
G1GMP-2412-MONOMER	G1GMP-2412	Q8EDW5	ATP-dependent Clp protease ATPase and specificity subunit ClpA	ClpA
G1GMP-3572-MONOMER	G1GMP-3572	Q8EAP8	membrane-anchored protein of unknown function DUF304	
G1GMP-4284-MONOMER	G1GMP-4284	Q8E8M6	two component transcriptional regulator Winged helix family	
G1GMP-2123-MONOMER	G1GMP-2123	Q8EEQ3	chemotaxis signal transduction system adaptor protein CheW	CheW
G1GMP-3700-MONOMER	G1GMP-3700	Q8EAB4	hypothetical protein	
G1GMP-1845-MONOMER	G1GMP-1845	Q8EFH0	predicted secreted protein	
G1GMP-3013-MONOMER	G1GMP-3013	Q8ECA9	flagella biosynthesis chaperone for FliD FliT	FliT
G1GMP-389-MONOMER	G1GMP-389	Q8EJQ8	zinc dependent metalloprotease domain lipoprotein	
G1GMP-2593-MONOMER	G1GMP-2593	Q8EDE5	c-di-GMP-binding protein	
G1GMP-2892-MONOMER	G1GMP-2892	Q8ECL6	hypothetical protein	
G1GMP-1158-MONOMER	G1GMP-1158	Q8EHH0	ferredoxin 4Fe-4S	
G1GMP-3135-MONOMER	G1GMP-3135	Q8EBX6	Fe(II) trafficking protein YggX	YggX
G1GMP-4509-MONOMER	G1GMP-4509	Q8E840	hypothetical protein	
G1GMP-2413-MONOMER	G1GMP-2413	Q8EDW4	ATP-dependent Clp protease adaptor protein ClpS	ClpS
G1GMP-1884-MONOMER	G1GMP-1884	Q8EFD5	transcriptional regulator MarR family	
G1GMP-3254-MONOMER	G1GMP-3254	Q8EBM2	diguanylate cyclase	
G1GMP-4194-MONOMER	G1GMP-4194	K4PU47	predicted non-catalytic member of peptidase subfamily M16B	
G1GMP-712-MONOMER	G1GMP-712	Q8EIS4	regulatory protein for nitrogen assimilation GlnK	GlnK
G1GMP-1275-MONOMER	G1GMP-1275	Q8EH53	putative negative regulator of univalent cation permeability	
G1GMP-3444-MONOMER	G1GMP-3444	Q8EB35	bifunctional periplasmic substrate binding protein/cytoplasmic diguanylate cyclase	
G1GMP-584-MONOMER	G1GMP-584	Q8EJ57	HD domain protein	
G1GMP-1581-MONOMER	G1GMP-1581	Q8EG85	ACT domain protein	
G1GMP-3870-MONOMER	G1GMP-3870	Q8E9R9	ribonuclease E inhibitor RraA	RraA
G1GMP-107-MONOMER	G1GMP-107	Q8EKI3	Zn-dependent protease with chaperone function	
G1GMP-3939-MONOMER	G1GMP-3939	Q8E9K7	type I restriction-modification system restriction endonuclease DNA specificity subunit HsdS	HsdS
G1GMP-4354-MONOMER	G1GMP-4354	Q8E8F4	cyclic di-GMP hydrolase	
G1GMP-167-MONOMER	G1GMP-167	Q8EKB4	hypothetical protein	
G1GMP-844-MONOMER	G1GMP-844	Q8EID5	Na-translocating NADH-quinone reductase subunit F NqrF	NqrF
G1GMP-2668-MONOMER	G1GMP-2668	Q8ED75	hypothetical protein	
G1GMP-4404-MONOMER	G1GMP-4404	Q8E8A8	replication protein RepA	RepA
G1GMP-2414-MONOMER	G1GMP-2414	Q8EDW3	DNA-binding cold shock protein CspD	CspD
G1GMP-1667-MONOMER	G1GMP-1667	Q8EFZ9	histone deacetylase superfamily protein	
G1GMP-2730-MONOMER	G1GMP-2730	Q8ED15	Lambda phage major tail protein V	
G1GMP-1742-MONOMER	G1GMP-1742	Q8EFS8	hypothetical protein	
G1GMP-3574-MONOMER	G1GMP-3574	Q8EAP5	protein of unknown function DUF1456	
G1GMP-1159-MONOMER	G1GMP-1159	Q8EHG9	peptidase U32 family YegQ	YegQ
G1GMP-1543-MONOMER	G1GMP-1543	Q8EGC7	3-ketoacyl-CoA thiolase IvdA	IvdA
G1GMP-3701-MONOMER	G1GMP-3701	Q8EAB3	hypothetical protein	
G1GMP-245-MONOMER	G1GMP-245	Q8EK47	DNA-directed RNA polymerase alpha subunit RpoA	RpoA
G1GMP-713-MONOMER	G1GMP-713	Q8EIS3	isochorismate hydrolase family protein	
G1GMP-4355-MONOMER	G1GMP-4355	Q8E8F3	ABC-type transporter ATPase component	
G1GMP-3014-MONOMER	G1GMP-3014	Q8ECA8	flagellar filament capping protein FliD	FliD
G1GMP-3445-MONOMER	G1GMP-3445	Q8EB34	glycoside hydrolase family 73	
G1GMP-2455-MONOMER	G1GMP-2455	Q8EDS3	Mu phage periplasmic protein of unknown function	
G1GMP-2790-MONOMER	G1GMP-2790	Q8ECV8	segregation and condensation protein ScpA	ScpA
G1GMP-2594-MONOMER	G1GMP-2594	Q8EDE4	protein with CobQ/CobB/MinD/ParA nucleotide binding domain	
G1GMP-472-MONOMER	G1GMP-472	Q8EJH1	glutathione synthetase ATP-binding domain-like superfamily protein	
G1GMP-2893-MONOMER	G1GMP-2893	Q8ECL5	serine/threonine:Na+ symporter SstT	SstT
G1GMP-504-MONOMER	G1GMP-504	Q8EJD4	thioredoxin-coupled cytoplasmic arsenate reductase ArsC2	
G1GMP-3136-MONOMER	G1GMP-3136	Q8EBX5	UPF0312 family alkali-inducible periplasmic protein YceI	YceI
G1GMP-585-MONOMER	G1GMP-585	Q8EJ56	lipase/esterase	
G1GMP-1276-MONOMER	G1GMP-1276	Q8EH52	peptidase family 56	
G1GMP-2053-MONOMER	G1GMP-2053	Q8EEW5	putative lipoprotein	
G1GMP-2415-MONOMER	G1GMP-2415	Q8EDW2	isocitrate dehydrogenase NADP-dependent Icd	Icd
G1GMP-1985-MONOMER	G1GMP-1985	Q8CM39	ISSod2 transposase TnpA_ISSod2	TnpA
G1GMP-1619-MONOMER	G1GMP-1619	Q8EG41	glutamate decarboxylase	
G1GMP-318-MONOMER	G1GMP-318	Q8EJX3	periplasmic thiol:disulfide interchange protein DsbA	DsbA
G1GMP-845-MONOMER	G1GMP-845	Q8EID4	ankyrin domain protein	
G1GMP-2456-MONOMER	G1GMP-2456	Q8EDS2	Mu phage endolysin Lys	Lys
G1GMP-1925-MONOMER	G1GMP-1925	Q8EF91	NiFe hydrogenase maturation protein HypF	HypF
G1GMP-4195-MONOMER	G1GMP-4195	K4PSX9	periplasmic peptidase family M16B	
G1GMP-4285-MONOMER	G1GMP-4285	Q8E8M5	two component signal transduction system histidine kinase	
G1GMP-1940-MONOMER	G1GMP-1940	Q8EF76	peptidase family M15	
G1GMP-4512-MONOMER	G1GMP-4512	Q8CLZ2	ISSod3, transposase	
G1GMP-2124-MONOMER	G1GMP-2124	Q8EEQ2	chemotaxis signal transduction system MCP methyltransferase CheR	CheR
G1GMP-50-MONOMER	G1GMP-50	Q8EKP4	periplasmic C-terminal peptidase S41 family	
G1GMP-1496-MONOMER	G1GMP-1496	Q8EGH8	protein-P-II uridylyltransferase GlnD	GlnD
G1GMP-2416-MONOMER	G1GMP-2416	K4PSH1	23S rRNA pseudouridine2457 synthase RluE	RluE
G1GMP-1160-MONOMER	G1GMP-1160	Q8EHG7	signal transduction superfamily protein with modified HD-GYP domain	
G1GMP-3576-MONOMER	G1GMP-3576	Q8EAP3	ISSod12 transposase TnpA_ISSod12	TnpA
G1GMP-3015-MONOMER	G1GMP-3015	Q8ECA7	uncharacterized flagella locus protein FlaG	FlaG
G1GMP-3702-MONOMER	G1GMP-3702	Q8EAB1	predicted inner membrane protein	
G1GMP-1707-MONOMER	G1GMP-1707	Q8EFW0	ribosome modulation factor Rmf	Rmf
G1GMP-1372-MONOMER	G1GMP-1372	Q8EGV8	malate synthase A AceB	AceB
G1GMP-2457-MONOMER	G1GMP-2457	Q8EDS1	Mu phage uncharacterized protein E18	
G1GMP-3137-MONOMER	G1GMP-3137	Q8EBX4	cytochrome B561 YceJ	YceJ
G1GMP-2595-MONOMER	G1GMP-2595	Q8EDE3	ribbon-helix-helix domain protein	
G1GMP-390-MONOMER	G1GMP-390	Q8EJQ7	transcription termination factor Rho	Rho
G1GMP-3446-MONOMER	G1GMP-3446	Q8EB31	hypothetical protein	
G1GMP-2894-MONOMER	G1GMP-2894	Q8ECL4	chemotaxis signal transduction system response regulator CheV	CheV
G1GMP-4196-MONOMER	G1GMP-4196	Q8E8W5	extracellular peptidase family S8	
G1GMP-586-MONOMER	G1GMP-586	P59320	acetylornithine aminotransferase	ArgD
G1GMP-3255-MONOMER	G1GMP-3255	Q8EBM1	protein of unknown function DUF88	
G1GMP-4405-MONOMER	G1GMP-4405	Q8E8A7	type II restriction-modification system activator, putative	
G1GMP-2417-MONOMER	G1GMP-2417	Q8EDW1	MutT/nudix family protein	
G1GMP-3871-MONOMER	G1GMP-3871	Q8E9R8	formimidoylglutamase HutG	HutG
G1GMP-714-MONOMER	G1GMP-714	Q8EIS1	putative periplasmic protein	
G1GMP-3940-MONOMER	G1GMP-3940	Q8E9K6	type I restriction-modification system N6-adenine DNA methyltransferase HsdM	HsdM
G1GMP-1031-MONOMER	G1GMP-1031	Q8EHU2	glutamate 5-kinase ProB	ProB
G1GMP-2458-MONOMER	G1GMP-2458	Q8EDS0	Mu phage uncharacterized protein	
G1GMP-2669-MONOMER	G1GMP-2669	Q8ED73	base-induced periplasmic protein YceI	YceI
G1GMP-4286-MONOMER	G1GMP-4286	Q8E8M4	periplasmic OB fold (BOF) protein	
G1GMP-134-MONOMER	G1GMP-134	Q8EKF3	nitrate/nitrite-responsive bifunctional diguanylate cyclase/phosphodiesterase with PAS sensory domain	
G1GMP-246-MONOMER	G1GMP-246	Q8EK46	50S ribosomal protein L17 RplQ	RplQ
G1GMP-2418-MONOMER	G1GMP-2418	Q8CX40	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase TrmU	TrmU
G1GMP-1161-MONOMER	G1GMP-1161	Q8EHG6	bifunctional diguanylate cyclase/phosphodiesterase	
G1GMP-1277-MONOMER	G1GMP-1277	Q8EH51	hypothetical protein	
G1GMP-587-MONOMER	G1GMP-587	Q8EJ55	arginine N-succinyltransferase AstA	AstA
G1GMP-2731-MONOMER	G1GMP-2731	Q8ED14	Lambda phage protein of unknown function DUF3168	
G1GMP-3447-MONOMER	G1GMP-3447	Q8EB30	5-methylthioadenosine nucleosidase/S-adenosylhomocysteine nucleosidase	
G1GMP-3577-MONOMER	G1GMP-3577	Q8EAP2	NAD-dependent malate dehydrogenase (oxaloacetate-decarboxylating) SfcA	SfcA
G1GMP-4356-MONOMER	G1GMP-4356	Q8E8F2	menaquinone-specific isochorismate synthase MenF	MenF
G1GMP-3016-MONOMER	G1GMP-3016	Q8ECA6	flagellin FliC	FliC
G1GMP-1986-MONOMER	G1GMP-1986	Q8CM99	ISSod25 integrase Int_ISSod25	
G1GMP-3703-MONOMER	G1GMP-3703	Q8EAB0	membrane protein UPF0114 family	
G1GMP-1810-MONOMER	G1GMP-1810	Q8EFL0	maltose O-acetyltransferase Maa	Maa
G1GMP-319-MONOMER	G1GMP-319	Q8EJX2	protein of unknown function DUF1107	
G1GMP-2459-MONOMER	G1GMP-2459	Q8EDR9	Mu phage Mom translational regulator Com	Com
G1GMP-3142-MONOMER	G1GMP-3142	Q8EBX2	hypothetical protein	
G1GMP-973-MONOMER	G1GMP-973	Q8EI01	metal ion-phosphate:proton symporter PitB	PitB
G1GMP-2597-MONOMER	G1GMP-2597	Q8CMJ3	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-2791-MONOMER	G1GMP-2791	Q8ECV7	RNA binding protein YciO	YciO
G1GMP-2895-MONOMER	G1GMP-2895	Q8ECL3	dual specificity protein-tyrosine phosphatase	
G1GMP-1756-MONOMER	G1GMP-1756	Q8EFR5	6-phosphogluconate dehydrogenase decarboxylating Gnd	Gnd
G1GMP-4513-MONOMER	G1GMP-4513		hypothetical protein	
G1GMP-846-MONOMER	G1GMP-846	Q8EID3	hypothetical protein	
G1GMP-2419-MONOMER	G1GMP-2419	Q8EDV9	high frequency lysogenization protein HflD	HflD
G1GMP-1847-MONOMER	G1GMP-1847	Q8EFG8	dksA-type zinc finger protein	
G1GMP-4406-MONOMER	G1GMP-4406	Q8E8A6	type II restriction endonuclease, putative	
G1GMP-1459-MONOMER	G1GMP-1459	Q8EGL5	cyclic nucleotide-binding domain protein	
G1GMP-3322-MONOMER	G1GMP-3322	Q8EBF6	proton/sodium:glutamate symporter DAACS family	
G1GMP-3290-MONOMER	G1GMP-3290	Q8EBI8	type IV pilin modification protein PilV	PilV
G1GMP-51-MONOMER	G1GMP-51	Q8EKP3	predicted non-catalytic member of peptidase subfamily M23B	
G1GMP-4197-MONOMER	G1GMP-4197	Q8E8W2	transcriptional regulator LysR family	
G1GMP-2460-MONOMER	G1GMP-2460	Q8EDR8	Mu phage protein of unknown function DUF2730	
G1GMP-391-MONOMER	G1GMP-391	Q8EJQ6	thioredoxin 1 TrxA	TrxA
G1GMP-108-MONOMER	G1GMP-108	Q8EKI2	hypothetical protein	
G1GMP-1278-MONOMER	G1GMP-1278	Q8EH50	protein of unknown function DUF2913	
G1GMP-588-MONOMER	G1GMP-588	Q8EJ54	succinylglutamic semialdehyde dehydrogenase AstD	AstD
G1GMP-1582-MONOMER	G1GMP-1582	Q8EG84	ABC-type high affinity phosphate uptake system permease component PstC	PstC
G1GMP-2420-MONOMER	G1GMP-2420	Q8EDV8	adenylosuccinate lyase	PurB
G1GMP-1885-MONOMER	G1GMP-1885	Q8EFD4	prolyl oligopeptidase family S9 protein	
G1GMP-3448-MONOMER	G1GMP-3448	Q8EB29	nucleoside:proton symporter NupX	NupX
G1GMP-3578-MONOMER	G1GMP-3578	Q8EAP1	protein of unknown function DUF3069	
G1GMP-3017-MONOMER	G1GMP-3017	Q8ECA5	flagellin FliC	FliC
G1GMP-3705-MONOMER	G1GMP-3705	Q8CLZ2	ISSod3 transposase TnpA_ISSod3	TnpA
